"","-1/4-wave","+1/4-wave","cylinder","dihedral","dipole","left helix","narrow dihedral","random volume","right helix","trihedral","class"
"2219","0.652095447020939","0.588850322848299","0.29961764830672","0.868623660203814","0.6780503240376","0.878364714912466","0.791368414222995","0.238686372417944","0.835103486938726","0.261766935864716","rich"
"3562","0.658776057144386","0.573145308586145","0.256911845822494","0.819747472479537","0.766324851509302","0.882786583579837","0.6949773717613","0.31478042971958","0.827524245280065","0.349924018520069","rich"
"1886","0.615896258362091","0.68150164142337","0.306999145990954","0.957253702251451","0.645798689150679","0.9645943305539","0.900509996390856","0.354346365837165","0.959117447813916","0.127558920308985","poor"
"3437","0.854059770277","0.638721058671651","0.757027180780702","0.843693370900573","0.602452451593106","0.757087948988523","0.904429041141739","0.634396401545399","1.05424754594143","0.650599617833887","rich"
"1037","0.586825977403816","1.01300463603104","0.819853918680866","0.974698744770087","0.549857856856135","0.959100092685243","1.07939808087916","0.670533864805697","0.96231991395247","0.633635505765092","poor"
"2292","0.691182613796811","0.614263621450718","0.435144511226522","0.914176553587774","0.590221181977784","0.846701189410123","0.896567685616782","0.285195238693464","0.893503787473226","0.285085280015305","rich"
"3877","0.763972592660813","0.731170100685239","0.646972467876083","0.835011820936314","0.789248746168002","1.12257311007391","0.793401004935333","0.562264010241426","0.493557307644037","0.65492815210179","rich"
"1682","0.571295690333288","0.673968154837831","0.322647626225645","0.869210302600106","0.66797893573193","0.910459865696932","0.799510433958103","0.372507683546199","0.947463528460416","0.272644627409477","poor"
"3418","0.609998724920304","0.665902938092824","0.545468533700253","0.820205134707466","0.516004655653453","0.836113373350536","0.845771726986431","0.38440061739625","0.893162248677111","0.412454480209556","rich"
"268","0.637635491647542","0.652660750685255","0.313087889520008","0.960343644666482","0.61880574510996","0.97557453986114","0.913936484536542","0.355204707042828","0.969196736960039","0.0594855630397716","poor"
"1276","0.618239963763317","0.613186848325286","0.278344932543672","0.900417510729302","0.627011586888976","0.941705163565441","0.841127965654563","0.324041954539111","0.943546939536935","0.129178612661765","poor"
"1616","0.811779611130068","0.466161304622825","0.527026374650812","0.891290145373404","0.491872326582939","0.944472812886577","0.923217641368882","0.400806498584899","0.896075314127037","0.334496079565213","poor"
"280","0.564869382190052","0.702118745942146","0.348643321789793","0.90349110072431","0.636246916072221","0.931996537541899","0.852680284938712","0.342682489310902","0.914787458627408","0.236968912776461","poor"
"986","0.642181338622251","0.4770711438703","0.400342215808795","0.736012546768957","0.553662766477154","0.858903608208788","0.70904227792196","0.299777271318545","0.846510501336663","0.338231906563565","poor"
"1077","0.532246775203496","0.737745945996616","0.286425354159297","0.916425406767375","0.691213986936497","0.905150874533351","0.836973014085923","0.312350554697079","0.915522321673094","0.221852781021595","poor"
"1405","0.609154251730648","0.627899032032424","0.239106588426894","0.906935035176844","0.658527224140524","0.96284855618223","0.831854644981678","0.332021496802492","0.935522655184009","0.120283129593326","poor"
"1169","0.664613375078159","0.559582598385915","0.446802862198924","0.872619424025705","0.466169276596077","0.918821233504736","0.891832598940058","0.330397159086302","0.926081517006081","0.217956707665041","poor"
"934","0.619779231669408","0.63943969268271","0.369687977431506","0.921301080451119","0.557858725390675","0.968827633267091","0.901431585363586","0.349547008579543","0.943119656943486","0.140821344416346","poor"
"1530","0.638929817539441","0.650312695049464","0.268953796637655","0.960519096538953","0.654927077879331","0.97474858614791","0.895261923245268","0.35903617565873","0.97720023149994","0.0463710858637232","poor"
"2313","0.625876603838321","0.594413105366899","0.397464815230939","0.850204629392531","0.561605795949144","0.812918484287115","0.829299626508455","0.164642369254764","0.841724630014676","0.262553371049077","rich"
"1554","1.01313853043741","0.35121564839446","0.502773225125274","0.952111901721395","0.746027872284855","0.972552304452899","0.898050213295047","0.509644270000572","0.903625724350044","0.454445035457349","poor"
"1099","0.807421075743461","0.474353129107444","0.857780737312333","0.416554151365238","0.558981849762561","0.757253918914196","0.537081135421694","0.622756186523621","0.65411204509285","0.846058730407995","poor"
"2137","0.655616811582526","0.706184782492854","0.477155993758429","0.916098769575664","0.647913099101316","1.12523695619353","0.888621733599298","0.407747849647437","0.665380054334615","0.377982063760637","rich"
"3460","0.725538613238909","0.637451970856142","0.681439385439207","0.772918825970298","0.5503822552735","0.748288141239356","0.824108328530405","0.376922976967042","0.715920788495599","0.584015577409954","rich"
"1462","1.06359323599842","0.37487480305837","0.615407960455434","0.973158997741051","0.695137665786539","0.968992625448758","0.968161420646089","0.590329480828287","0.973499446448412","0.515481640541341","poor"
"1372","0.737656266027167","0.50877319377018","0.399647507235384","0.902948336383352","0.554333743068","0.906320537059598","0.888622263657407","0.361495600770421","0.98310140924145","0.210244817698309","poor"
"994","0.654925400531432","0.661517358296921","0.325304892744384","0.97979579952517","0.629506069903799","0.958977639450486","0.933202853824008","0.34360588448237","0.965221640267739","0.0847911988822159","poor"
"2612","0.564393393641747","0.585900915609168","0.298508589796403","0.808651887135061","0.595281376344867","0.87606877440991","0.754838335392196","0.224677988038345","0.857544372516685","0.21867347133573","rich"
"1488","0.724026102237881","0.58380530385449","0.336747195082557","0.960774923119075","0.640279401627205","0.993504135507148","0.911045319744958","0.380580989675644","0.948267025243465","0.164885988989901","poor"
"3218","0.591500365249336","0.745227545202478","0.320620311897117","0.95194052573473","0.726879498402178","0.815978174885097","0.867908759389435","0.273818286558892","0.92604310359255","0.267967490563075","rich"
"2404","0.768495584121484","0.795838511884341","0.513929214879007","0.963572258188586","0.927827613723403","0.766574256917362","0.841609129033144","0.545967209895245","0.989409206419612","0.579342860541718","rich"
"709","0.586984615259099","0.684266379645321","0.260333960799657","0.817877714199351","0.836082879960447","0.883371774771739","0.662989124589996","0.387942142154381","0.85182667078319","0.411909019293645","poor"
"3127","0.770005759737248","0.479142110795267","0.581785760754541","0.751121656705076","0.55718354911057","0.722882113766249","0.769852990022068","0.357688885477693","0.841345909326538","0.504311473183437","rich"
"2264","0.61478930641937","0.672107058646184","0.317839279195114","0.864964951462568","0.752603826052834","0.932019632129911","0.761696454577325","0.299980260137692","0.755844082820923","0.352127244169706","rich"
"1043","0.680246645345664","0.555614562577188","0.189070145326012","0.881072929064308","0.733202103890176","0.944730886535453","0.769589630572898","0.319348207280915","0.882065451008523","0.224606331217369","poor"
"1948","0.717808973339292","0.603652572792309","0.166904156786113","0.968982532333056","0.772772864967994","0.962783438104521","0.84954914133258","0.397925601766006","0.999179053225937","0.172955672542815","poor"
